"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region","se"
6,0.198701705759406,0.0368775331264971,0.134885107615913,0.274469393801156,1.00195328274068,1600,2008,"MM.p.w","Asia",NA
7,0.21498349176125,0.0367787901525482,0.151764129636205,0.291504317405145,1.00275903964491,960,2009,"MM.p.w","Asia",NA
8,0.249799231545268,0.0413054171117398,0.175903733813428,0.33500096984336,1.00126971609145,3300,2010,"MM.p.w","Asia",NA
9,0.136584214453725,0.0307330976099202,0.0840559643349594,0.206383919837679,1.00169679644598,1900,2011,"MM.p.w","Asia",NA
10,0.140712059569865,0.0330451917179165,0.0844831039704076,0.212179679900224,1.00462173222702,510,2012,"MM.p.w","Asia",NA
11,0.131846513331883,0.0318580730694864,0.0780720229242299,0.20094056623704,1.00466980402761,500,2013,"MM.p.w","Asia",NA
12,0.193952621859981,0.0415145263199638,0.121639148931901,0.28366842999347,1.00207761553613,1400,2014,"MM.p.w","Asia",NA
13,0.291671046005635,0.0469473134520129,0.201291591005146,0.385293698529585,1.00066488676105,4500,2015,"MM.p.w","Asia",NA
14,0.167666249122582,0.0306033534904618,0.11391630282011,0.234329315191931,1.00757949336209,290,2016,"MM.p.w","Asia",NA
15,0.208546164636249,0.0346571853993025,0.148886515145361,0.283364902012077,1.00153719135149,2300,2017,"MM.p.w","Asia",NA
16,0.156560575920756,0.102807394295416,0.0223224312924738,0.414291339574865,1.00150816728907,2400,2018,"MM.p.w","Asia",NA
17,0.139545896902546,0.100375940069412,0.0171458558795089,0.39993136665153,1.00072135909613,4500,2019,"MM.p.w","Asia",NA
1,0.2,NA,NA,NA,NA,NA,2003,"Observed","Asia",NA
2,0.102040816326531,NA,NA,NA,NA,NA,2004,"Observed","Asia",NA
3,0.173333333333333,NA,NA,NA,NA,NA,2005,"Observed","Asia",NA
4,0.130434782608696,NA,NA,NA,NA,NA,2006,"Observed","Asia",NA
5,0.125984251968504,NA,NA,NA,NA,NA,2007,"Observed","Asia",NA
6,0.179166666666667,NA,NA,NA,NA,NA,2008,"Observed","Asia",NA
7,0.180451127819549,NA,NA,NA,NA,NA,2009,"Observed","Asia",NA
8,0.209677419354839,NA,NA,NA,NA,NA,2010,"Observed","Asia",NA
9,0.138339920948617,NA,NA,NA,NA,NA,2011,"Observed","Asia",NA
10,0.108938547486034,NA,NA,NA,NA,NA,2012,"Observed","Asia",NA
11,0.0918918918918919,NA,NA,NA,NA,NA,2013,"Observed","Asia",NA
12,0.123711340206186,NA,NA,NA,NA,NA,2014,"Observed","Asia",NA
13,0.192825112107623,NA,NA,NA,NA,NA,2015,"Observed","Asia",NA
14,0.168224299065421,NA,NA,NA,NA,NA,2016,"Observed","Asia",NA
15,0.148550724637681,NA,NA,NA,NA,NA,2017,"Observed","Asia",NA
16,0.272727272727273,NA,NA,NA,NA,NA,2018,"Observed","Asia",NA
17,0.333333333333333,NA,NA,NA,NA,NA,2019,"Observed","Asia",NA
1,0.149902640845232,NA,-0.110825111606857,0.410630393297321,NA,NA,2003,"LSMeans","Asia",0.133024363495964
2,0.207688308421619,NA,0.0387106448646916,0.376665971978546,NA,NA,2004,"LSMeans","Asia",0.0862130936514936
3,0.304699741783613,NA,0.165243057031241,0.444156426535985,NA,NA,2005,"LSMeans","Asia",0.0711513697716184
4,0.268384032455157,NA,0.153047447751207,0.383720617159107,NA,NA,2006,"LSMeans","Asia",0.0588451962775254
5,0.286400992569072,NA,0.200462588344224,0.37233939679392,NA,NA,2007,"LSMeans","Asia",0.0438461246045145
6,0.329458744130969,NA,0.243166715935994,0.415750772325944,NA,NA,2008,"LSMeans","Asia",0.0440265449974363
7,0.327353158423755,NA,0.244806032972391,0.409900283875119,NA,NA,2009,"LSMeans","Asia",0.0421158803323287
8,0.360508178100376,NA,0.275202701247729,0.445813654953023,NA,NA,2010,"LSMeans","Asia",0.0435232024758404
9,0.2780559467914,NA,0.194329107870361,0.361782785712439,NA,NA,2011,"LSMeans","Asia",0.0427177749597139
10,0.265667715791452,NA,0.189892278796683,0.341443152786221,NA,NA,2012,"LSMeans","Asia",0.0386609372422293
11,0.242635296916148,NA,0.168658246633865,0.316612347198431,NA,NA,2013,"LSMeans","Asia",0.0377433930011649
12,0.28266859663082,NA,0.201000216757227,0.364336976504413,NA,NA,2014,"LSMeans","Asia",0.0416675407518332
13,0.344839520305199,NA,0.255854429577709,0.433824611032689,NA,NA,2015,"LSMeans","Asia",0.0454005564936173
14,0.313366180728766,NA,0.223859574570661,0.402872786886871,NA,NA,2016,"LSMeans","Asia",0.0456666357949515
15,0.305861272708207,NA,0.222906834308002,0.388815711108412,NA,NA,2017,"LSMeans","Asia",0.0423236930613292
1,0,NA,NA,NA,NA,NA,2003,"Observed","South Asia",NA
1,0.307692307692308,NA,NA,NA,NA,NA,2003,"Observed","South East Asia",NA
2,0.05,NA,NA,NA,NA,NA,2004,"Observed","South Asia",NA
