"MIKEsiteID","year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source"
"MJT",10,0.745269536935387,0.0608592094532014,0.612627937807194,0.851772961990661,1.00193544819593,1600,2012,"Drop"
"MJT",11,0.665345891304561,0.0710552495420421,0.514673784616889,0.792378686358375,1.0010351086466,4500,2013,"Drop"
"MJT",12,0.754000445006709,0.0606126719661959,0.626862758201269,0.860532110579084,1.00135647868129,2900,2014,"Drop"
"MJT",13,0.710679654077999,0.0662799669859369,0.570059754555267,0.828374945528808,1.00138396480984,3200,2015,"Drop"
"MJT",14,0.693801130930384,0.0689633127267505,0.546750541087218,0.815480438213088,1.00166994907439,2000,2016,"Drop"
"MJT",15,0.627606080722854,0.0750752385347108,0.470305194731989,0.77102371242637,1.00074090278631,4500,2017,"Drop"
"MJT",16,0.571155020194525,0.0755938067623949,0.414592034390157,0.710803411200829,1.00081846995834,4500,2018,"Drop"
"MJT",17,0.371608139103236,0.0743706586868005,0.234328144246106,0.524009986067249,1.00195320806607,1600,2019,"Drop"
"MKB",1,0.408090515796303,0.0834871947642131,0.252361624740245,0.579308151608086,1.00115710705706,4100,2003,"Drop"
"MKB",2,0.416740400258913,0.0815630364163834,0.262447329936557,0.580759750702304,1.00110125036158,4500,2004,"Drop"
"MKB",3,0.379340810322367,0.0817212232097869,0.229161283149493,0.545780386179836,1.00103065243722,4500,2005,"Drop"
"MKB",4,0.406499300650792,0.0888110183562602,0.248709039668376,0.590059354350431,1.00112990175151,4300,2006,"Drop"
"MKB",5,0.432682804129849,0.0880560213255726,0.269140998663555,0.608127989709378,1.00221199775658,1300,2007,"Drop"
"MKB",6,0.567163884991542,0.0865351850952889,0.394097235508019,0.727807387909264,1.00287485360798,910,2008,"Drop"
"MKB",7,0.556246610463695,0.081866309485784,0.390198371636931,0.706873219035687,1.00359619164563,680,2009,"Drop"
"MKB",8,0.524696427322981,0.0828137635759708,0.363036305300198,0.683841046379846,1.00104824956111,4500,2010,"Drop"
"MKB",9,0.771850273800193,0.0580499892689171,0.64492190391497,0.869800779270382,1.00515744674214,450,2011,"Drop"
"MKB",10,0.739276001728805,0.0629731890254481,0.605584315458341,0.846697284552218,1.00225087017818,1300,2012,"Drop"
"MKB",11,0.663118186802635,0.0735611385676665,0.513888329957825,0.796019664530032,1.00131877653426,3100,2013,"Drop"
"MKB",12,0.736483979908646,0.0646917507400526,0.602538499200281,0.848781236909722,1.00092736371344,4500,2014,"Drop"
"MKB",13,0.703597369471745,0.0679683973801033,0.559059276887124,0.820284830896047,1.00070769871245,4500,2015,"Drop"
"MKB",14,0.682760990342903,0.0732625896449992,0.528800363019659,0.811485325170514,1.00067943102832,4500,2016,"Drop"
"MKB",15,0.60479799080581,0.0796435418537248,0.444318332798531,0.751694384640853,1.00131355087757,3100,2017,"Drop"
"MKB",16,0.548842417446901,0.0794852823584511,0.389994044013165,0.701521255087966,1.00087440211648,4500,2018,"Drop"
"MKB",17,0.33281020812058,0.0723798706721952,0.203314036514803,0.483501231077484,1.001683869431,2800,2019,"Drop"
"MKZ",1,0.409307409120199,0.0836206816746473,0.252257027015598,0.58125414081609,1.00326041025893,770,2003,"Drop"
"MKZ",2,0.422629075972204,0.0819502456534145,0.27438761320057,0.585889535578051,1.00114835754811,4100,2004,"Drop"
"MKZ",3,0.370002152334169,0.0823464646935942,0.223313120095996,0.54610094151607,1.0011961479626,3800,2005,"Drop"
"MKZ",4,0.414001020814762,0.0882013237749486,0.246285582219484,0.590120901397186,1.00211791235589,2300,2006,"Drop"
"MKZ",5,0.440349653009975,0.0898743990546102,0.268477501276438,0.618835751379992,1.00084948487271,4500,2007,"Drop"
"MKZ",6,0.578531657204076,0.0849751853239925,0.406373437291202,0.739287694228519,1.00096497393691,4500,2008,"Drop"
"MKZ",7,0.557288130015137,0.0813541316902401,0.391454947348356,0.709853945969514,1.00094635127722,4500,2009,"Drop"
"MKZ",8,0.533925455111002,0.0830673751180065,0.368634599573061,0.692891722053299,1.00078357541485,4500,2010,"Drop"
"MKZ",9,0.765764116161942,0.0596362599926614,0.63274418520005,0.865403993113671,1.002158760027,1300,2011,"Drop"
"MKZ",10,0.742528302640601,0.0625345369292037,0.608456863990495,0.850460495703061,1.00071873510181,4500,2012,"Drop"
"MKZ",11,0.647314264938343,0.0747457624845753,0.493368375277651,0.783186033970289,1.00391742420046,620,2013,"Drop"
"MKZ",12,0.746688664726526,0.0639349451076672,0.609526738169172,0.856566530451822,1.0010166529864,4500,2014,"Drop"
"MKZ",13,0.706788221908563,0.0686275274598915,0.561488708052095,0.826780355292155,1.00074977397837,4500,2015,"Drop"
"MKZ",14,0.685617314571285,0.0719081000289704,0.53354568729925,0.812188036278912,1.00087432820213,4500,2016,"Drop"
"MKZ",15,0.617089932608139,0.0789297283754577,0.451901987220856,0.760274939041355,1.00109618062551,4500,2017,"Drop"
"MKZ",16,0.574888589146649,0.0775922243864217,0.417983606310151,0.723996036547079,1.0010783788648,4500,2018,"Drop"
"MKZ",17,0.357706055442669,0.0745009005199333,0.222604929927943,0.515842865403374,1.00180364983539,1800,2019,"Drop"
"MOL",1,0.412043195187199,0.0857091422694832,0.256225706273125,0.582922302811679,1.00093095998149,4500,2003,"Drop"
"MOL",2,0.430456689903686,0.0825551600687491,0.271705897072538,0.596753236760875,1.00097194154443,4500,2004,"Drop"
"MOL",3,0.364578606764272,0.0807135484123821,0.2144223384837,0.533853478473995,1.00071183349195,4500,2005,"Drop"
"MOL",4,0.398901093033217,0.0911283365263997,0.2361391428959,0.590459209946209,1.00137663859927,2800,2006,"Drop"
"MOL",5,0.429120775103199,0.0907590309135723,0.260631194872433,0.611126520725472,1.00150844083897,2400,2007,"Drop"
"MOL",6,0.574586378390499,0.0868437004384502,0.399029169553341,0.737741951453512,1.00280822126872,940,2008,"Drop"
"MOL",7,0.555888671102422,0.084261001360823,0.384489869274397,0.716824495178695,1.00078927154708,4500,2009,"Drop"
"MOL",8,0.529490761309467,0.0842302900573757,0.363815470449444,0.691345727863255,1.00099708160241,4500,2010,"Drop"
"MOL",9,0.782881630322914,0.05652302356749,0.655861597106906,0.87768873731191,1.0010253353592,4500,2011,"Drop"
"MOL",10,0.738741500393323,0.0641432494143169,0.600407179269371,0.84979342685067,1.00107701503311,4500,2012,"Drop"
"MOL",11,0.652781548131433,0.0739849307142802,0.498004169754715,0.78874883043864,1.00076056148754,4500,2013,"Drop"
"MOL",12,0.7449982284395,0.0642594828699189,0.607512039892913,0.853764513174636,1.00105877109338,4500,2014,"Drop"
"MOL",13,0.711889405621169,0.0673409452239545,0.568847358769342,0.830179688445485,1.00112663910285,4300,2015,"Drop"
"MOL",14,0.684680777335973,0.0737021056276043,0.527660735630693,0.814262853779725,1.00091902393808,4500,2016,"Drop"
"MOL",15,0.611467395497184,0.0806025725347544,0.446205035793569,0.758989846886154,1.0008298863321,4500,2017,"Drop"
"MOL",16,0.549741418258942,0.0790341386936869,0.392323294100649,0.701487205057929,1.00184507876987,1700,2018,"Drop"
"MOL",17,0.345586716923585,0.074167922016138,0.21263488184257,0.501702550578835,1.00227280724888,1200,2019,"Drop"
"MRU",1,0.406219833332172,0.0855155611426644,0.249296378238948,0.583973527399277,1.00433668893735,550,2003,"Drop"
"MRU",2,0.401325110858953,0.0822897165172857,0.24741306146932,0.574718819000814,1.00217561237084,1300,2004,"Drop"
"MRU",3,0.376511739337899,0.0837974847687109,0.223713880790211,0.547273163595052,1.00155132455412,2300,2005,"Drop"
"MRU",4,0.404272897818207,0.0913939039866596,0.238950084379292,0.593518366809134,1.00654158512428,340,2006,"Drop"
"MRU",5,0.446704053041002,0.0916725403528729,0.272809970171537,0.62818148107914,1.00149320237515,2400,2007,"Drop"
"MRU",6,0.587951311777666,0.0868728628468736,0.413045221820597,0.747879659717186,1.00240006824843,1200,2008,"Drop"
"MRU",7,0.564691252885217,0.084462511316407,0.398706353279932,0.724560571074566,1.00204924403813,1400,2009,"Drop"
"MRU",8,0.527602617179746,0.0856598979451713,0.35986875281304,0.693202454905127,1.00219313836819,1300,2010,"Drop"
"MRU",9,0.772298779289554,0.0587967058842085,0.644099025439734,0.872981733325933,1.00191760510497,1700,2011,"Drop"
"MRU",10,0.746320125377821,0.0630432743930073,0.610919668717204,0.855005484882822,1.0011335865419,4300,2012,"Drop"
"MRU",11,0.659662049841526,0.0747464239362378,0.503376304002331,0.797242280857337,1.00159115983797,2200,2013,"Drop"
"MRU",12,0.759020887904757,0.0622339878429193,0.623029393371192,0.865750206513757,1.00132367703664,3000,2014,"Drop"
"MRU",13,0.719543556628198,0.0668739438378186,0.578225851802466,0.835653068311615,1.00358820398915,910,2015,"Drop"
"MRU",14,0.688300070631424,0.0725804413856891,0.534465185413457,0.815670505808279,1.00262267292708,1000,2016,"Drop"
"MRU",15,0.6308372772397,0.0772797868365287,0.472909192049052,0.772891714039328,1.00399376215627,1400,2017,"Drop"
"MRU",16,0.564571919764905,0.079183069915808,0.405686579804778,0.710467462423571,1.00386578013483,630,2018,"Drop"
"MRU",17,0.357984634883294,0.0762269388102684,0.219796389615828,0.518530427021134,1.00128030183126,3300,2019,"Drop"
"NAZ",1,0.412532461537642,0.0847207970147599,0.252430203978574,0.577558974962463,1.00232890206577,1200,2003,"Drop"
"NAZ",2,0.429283446043606,0.0831281417665916,0.275124346242461,0.595255742519392,1.00179894009552,1800,2004,"Drop"
"NAZ",3,0.373810360179393,0.0833904596254642,0.222720435788194,0.549779416845739,1.00119667258924,3800,2005,"Drop"
"NAZ",4,0.416077983804507,0.0900084318091703,0.248965664987315,0.598449202227791,1.00246542404195,1100,2006,"Drop"
"NAZ",5,0.43137583304712,0.0877144232305262,0.265741544951521,0.606177392579175,1.00155845133158,2200,2007,"Drop"
"NAZ",6,0.565496431437992,0.0872993894918405,0.389798284355868,0.729316031855822,1.00079055183373,4500,2008,"Drop"
"NAZ",7,0.553268342741378,0.0836504324237507,0.388326192873774,0.711133966129419,1.00070284866309,4500,2009,"Drop"
"NAZ",8,0.529648123862583,0.0844489760410477,0.363194699512522,0.684330936749719,1.000980048421,4500,2010,"Drop"
"NAZ",9,0.771956177697353,0.0586190151676668,0.6409772647899,0.872116356025564,1.00122871459803,3600,2011,"Drop"
"NAZ",10,0.742097435339457,0.0639203719816721,0.601143586078866,0.851155730550363,1.00096901251277,4500,2012,"Drop"
"NAZ",11,0.656483821684666,0.0737462269397804,0.502174681818797,0.793078046085359,1.0013407410564,3000,2013,"Drop"
"NAZ",12,0.750621692583287,0.06382143834904,0.61120019618403,0.856713454340219,1.00089078506748,4500,2014,"Drop"
"NAZ",13,0.704603501218404,0.0690969759570105,0.554593746639613,0.826680352699258,1.00078928626648,4500,2015,"Drop"
"NAZ",14,0.689399029406915,0.0714868153479764,0.540907589360594,0.819595258972186,1.00182021240924,1700,2016,"Drop"
"NAZ",15,0.622496848149972,0.0780019031268982,0.461430974719489,0.764512324738143,1.00221343106608,1300,2017,"Drop"
"NAZ",16,0.549742053353795,0.0788328940495195,0.38621427085844,0.697020923838409,1.00127192442436,3300,2018,"Drop"
"NAZ",17,0.345591075580433,0.0732466066644126,0.211863471410408,0.502069709134836,1.00149566258743,2400,2019,"Drop"
"NDK",1,0.406118775714607,0.0825928054788042,0.248385020254056,0.571171886752773,1.00132054106923,3100,2003,"Drop"
"NDK",2,0.428125904963298,0.0822052400091946,0.274593299734398,0.594469202527788,1.00084941843887,4500,2004,"Drop"
"NDK",3,0.363504371453427,0.0806784831526624,0.215095505342903,0.528524076856778,1.00070817486397,4500,2005,"Drop"
"NDK",4,0.435876799567003,0.0885667706435863,0.271051616662453,0.611916143784397,1.00079188189419,4500,2006,"Drop"
"NDK",5,0.453014439308354,0.0886762826508754,0.287713569039979,0.627170607650845,1.00334070129972,750,2007,"Drop"
"NDK",6,0.595888634723289,0.0826695483222994,0.425414714870303,0.747289495254099,1.00088719987217,4500,2008,"Drop"
"NDK",7,0.564758756058879,0.0824638580290856,0.401778245002457,0.721937802912555,1.00090654917211,4500,2009,"Drop"
"NDK",8,0.547057679054212,0.0824697546378441,0.38679760568533,0.705906551219001,1.00334893257711,750,2010,"Drop"
"NDK",9,0.781504888281084,0.0556756335976325,0.65939929487602,0.876349184889038,1.00089151050869,4500,2011,"Drop"
"NDK",10,0.736778114242287,0.0635411614641136,0.597587059881244,0.846640161604078,1.00117333165243,3900,2012,"Drop"
"NDK",11,0.681301706921692,0.0708476551447313,0.531878588834583,0.806508201329549,1.00066942528821,4500,2013,"Drop"
"NDK",12,0.7481671027352,0.0630091488080795,0.609322968793998,0.855421491164717,1.0008258968476,4500,2014,"Drop"
"NDK",13,0.705539424743991,0.0677092715946651,0.560329811823519,0.823500134481769,1.00070373599394,4500,2015,"Drop"
"NDK",14,0.67655757388663,0.0751077711238971,0.519383470811819,0.808359548928696,1.00283257324247,930,2016,"Drop"
"NDK",15,0.61636310187064,0.0793762622907158,0.452293330295057,0.763741083202011,1.0007154535886,4500,2017,"Drop"
"NDK",16,0.540061721386979,0.0810992865223392,0.378432439664294,0.693511618580695,1.00157101773176,2200,2018,"Drop"
"NDK",17,0.337770351183815,0.073230252604036,0.205869719092985,0.487249852585925,1.00139703695445,2700,2019,"Drop"
"NIA",1,0.403906964297299,0.0828012009656916,0.25074065602865,0.571886665180283,1.00208381479635,1400,2003,"Drop"
"NIA",2,0.411390974848108,0.0820213150004518,0.257889883512922,0.575478303741878,1.0008369482552,4500,2004,"Drop"
"NIA",3,0.365548644105384,0.0816651233954006,0.212915105736726,0.531040577911507,1.00147841188622,2500,2005,"Drop"
"NIA",4,0.402634885274096,0.0875641187719061,0.242203103047606,0.582021413488052,1.00119650840202,3800,2006,"Drop"
"NIA",5,0.436605650909068,0.088901429345969,0.269232831783816,0.616194557085061,1.00220743120842,1300,2007,"Drop"
"NIA",6,0.564852323033056,0.0866042449837544,0.391095731930494,0.725106948168703,1.00146741340139,2500,2008,"Drop"
"NIA",7,0.552661435369734,0.0820106654314183,0.387489578232879,0.705597510136657,1.00085915101207,4500,2009,"Drop"
"NIA",8,0.528570886020811,0.0842235362242498,0.364864286985196,0.69247173978304,1.0007157206987,4500,2010,"Drop"
"NIA",9,0.768189988565493,0.0593619171526801,0.638438682403682,0.869045453784381,1.00311023174148,820,2011,"Drop"
"NIA",10,0.725251918128167,0.0653687433958298,0.581952344764275,0.837900945628946,1.00172110239666,1900,2012,"Drop"
"NIA",11,0.651823643859623,0.0750398437274899,0.500060605240292,0.791295609662968,1.0026918348272,990,2013,"Drop"
"NIA",12,0.737192072438532,0.0664560103166077,0.592064757356443,0.852257495034711,1.00104148635912,4500,2014,"Drop"
"NIA",13,0.689677002492639,0.0716341657243464,0.539011799865985,0.818824938830348,1.00070867160754,4500,2015,"Drop"
"NIA",14,0.680820950494219,0.0740336242007146,0.525292336067287,0.813413166768904,1.00095429644694,4500,2016,"Drop"
"NIA",15,0.609903103745288,0.0796270669572727,0.446610970503001,0.759154422467562,1.00093052939447,4500,2017,"Drop"
"NIA",16,0.560072048183041,0.0801031259772498,0.400988954007247,0.709986223600337,1.00109371973312,4500,2018,"Drop"
"NIA",17,0.356991583472338,0.0757696389579642,0.217674325342312,0.514388939783646,1.00414729979578,580,2019,"Drop"
"NKK",1,0.418480774971596,0.0839780199281707,0.260551349810987,0.588034838511668,1.00066531397281,4500,2003,"Drop"
"NKK",2,0.424256736853124,0.0810905689104712,0.269095438074217,0.583473803245086,1.00173980539187,1900,2004,"Drop"
